S. No.,image_path,train/test,X_min,Y_min,X_max,Y_max
1,WSD01/WSD01_0001.jpg,train,57,122,343,433
2,WSD01/WSD01_0003.jpg,train,72,89,376,418
3,WSD01/WSD01_0004.jpg,train,42,64,381,475
4,WSD01/WSD01_0005.jpg,train,57,77,345,379
5,WSD01/WSD01_0006.jpg,train,28,70,362,483
6,WSD01/WSD01_0007.jpg,train,42,75,340,390
7,WSD01/WSD01_0008.jpg,train,54,79,360,419
8,WSD01/WSD01_0009.jpg,train,53,95,342,414
9,WSD01/WSD01_0010.jpg,train,18,51,382,481
10,WSD01/WSD01_0011.jpg,train,48,90,351,415
11,WSD01/WSD01_0012.jpg,train,26,76,386,495
12,WSD01/WSD01_0013.jpg,train,32,87,329,437
13,WSD01/WSD01_0014.jpg,train,48,72,368,453
14,WSD01/WSD01_0015.jpg,train,48,92,339,410
15,WSD01/WSD01_0016.jpg,train,30,94,317,387
16,WSD01/WSD01_0018.jpg,train,41,90,333,405
17,WSD01/WSD01_0019.jpg,train,50,89,330,410
18,WSD01/WSD01_0020.jpg,train,52,107,319,382
19,WSD01/WSD01_0021.jpg,train,31,83,334,396
20,WSD01/WSD01_0022.jpg,train,68,80,371,383
21,WSD01/WSD01_0023.jpg,train,1,76,281,368
22,WSD01/WSD01_0024.jpg,train,59,89,352,401
23,WSD01/WSD01_0025.jpg,train,40,114,344,453
24,WSD01/WSD01_0026.jpg,train,106,86,368,388
25,WSD01/WSD01_0027.jpg,train,50,63,386,479
26,WSD01/WSD01_0028.jpg,train,34,108,318,407
27,WSD01/WSD01_0030.jpg,train,60,81,348,394
28,WSD01/WSD01_0031.jpg,train,116,104,335,316
29,WSD01/WSD01_0032.jpg,train,67,100,325,386
30,WSD01/WSD01_0033.jpg,train,54,56,363,380
31,WSD01/WSD01_0034.jpg,train,79,132,334,402
32,WSD01/WSD01_0035.jpg,train,48,104,347,423
33,WSD01/WSD01_0036.jpg,train,61,74,347,411
34,WSD01/WSD01_0037.jpg,train,69,158,317,427
35,WSD01/WSD01_0038.jpg,train,28,61,345,400
36,WSD01/WSD01_0039.jpg,train,56,96,338,415
37,WSD01/WSD01_0040.jpg,train,82,142,332,409
38,WSD01/WSD01_0041.jpg,train,54,69,336,385
39,WSD01/WSD01_0043.jpg,train,110,74,334,305
40,WSD01/WSD01_0044.jpg,train,48,91,327,428
41,WSD01/WSD01_0045.jpg,train,43,124,321,397
42,WSD01/WSD01_0046.jpg,train,69,50,339,319
43,WSD01/WSD01_0047.jpg,train,58,86,321,346
44,WSD01/WSD01_0048.jpg,train,101,113,327,343
45,WSD01/WSD01_0049.jpg,train,63,83,326,361
46,WSD01/WSD01_0050.jpg,train,52,69,336,379
47,WSD01/WSD01_0052.jpg,train,65,145,273,359
48,WSD01/WSD01_0053.jpg,train,13,72,334,404
49,WSD01/WSD01_0054.jpg,train,78,98,319,350
50,WSD01/WSD01_0055.jpg,train,42,74,332,399
51,WSD01/WSD01_0056.jpg,train,72,77,324,342
52,WSD01/WSD01_0057.jpg,train,48,67,317,361
53,WSD01/WSD01_0058.jpg,train,54,97,340,367
54,WSD01/WSD01_0060.jpg,train,65,80,336,342
55,WSD01/WSD01_0061.jpg,train,54,117,265,323
56,WSD01/WSD01_0062.jpg,train,111,110,281,316
57,WSD01/WSD01_0064.jpg,train,96,129,337,371
58,WSD01/WSD01_0065.jpg,train,72,88,322,366
59,WSD01/WSD01_0066.jpg,train,91,104,328,349
60,WSD01/WSD01_0067.jpg,train,96,81,304,349
61,WSD01/WSD01_0068.jpg,train,41,107,334,444
62,WSD01/WSD01_0069.jpg,train,55,62,326,365
63,WSD01/WSD01_0070.jpg,train,37,83,310,396
64,WSD01/WSD01_0071.jpg,train,128,132,297,341
65,WSD01/WSD01_0073.jpg,train,49,111,351,417
66,WSD01/WSD01_0074.jpg,train,42,118,285,369
67,WSD01/WSD01_0075.jpg,train,87,76,310,324
68,WSD01/WSD01_0076.jpg,train,62,66,334,381
69,WSD01/WSD01_0077.jpg,train,47,114,258,335
70,WSD01/WSD01_0078.jpg,train,119,141,296,366
71,WSD01/WSD01_0079.jpg,train,53,109,295,363
72,WSD01/WSD01_0080.jpg,train,61,121,334,413
73,WSD01/WSD01_0081.jpg,train,24,26,324,396
74,WSD01/WSD01_0082.jpg,train,76,129,279,340
75,WSD01/WSD01_0085.jpg,train,79,97,268,330
76,WSD01/WSD01_0088.jpg,train,70,90,332,386
77,WSD01/WSD01_0089.jpg,train,50,80,319,378
78,WSD01/WSD01_0090.jpg,train,169,203,310,331
79,WSD01/WSD01_0091.jpg,train,95,111,314,393
80,WSD01/WSD01_0093.jpg,train,74,69,293,281
81,WSD01/WSD01_0094.jpg,train,95,149,263,353
82,WSD01/WSD01_0096.jpg,train,62,100,304,356
83,WSD01/WSD01_0097.jpg,train,96,107,296,363
84,WSD01/WSD01_0098.jpg,train,87,76,293,350
85,WSD01/WSD01_0099.jpg,train,40,83,323,406
86,WSD01/WSD01_0100.jpg,train,121,127,285,295
87,WSD01/WSD01_0101.jpg,train,21,195,311,423
88,WSD01/WSD01_0102.jpg,train,67,108,282,345
89,WSD01/WSD01_0103.jpg,train,80,106,275,354
90,WSD01/WSD01_0104.jpg,train,48,103,307,369
91,WSD01/WSD01_0105.jpg,train,87,80,284,327
92,WSD01/WSD01_0106.jpg,train,59,115,269,325
93,WSD01/WSD01_0107.jpg,train,68,84,286,349
94,WSD01/WSD01_0108.jpg,train,115,84,298,318
95,WSD01/WSD01_0110.jpg,train,140,140,302,335
96,WSD01/WSD01_0111.jpg,train,90,71,356,426
97,WSD01/WSD01_0112.jpg,train,70,97,289,385
98,WSD01/WSD01_0113.jpg,train,105,123,287,360
99,WSD01/WSD01_0115.jpg,train,36,69,331,383
100,WSD01/WSD01_0116.jpg,train,82,109,303,379
101,WSD01/WSD01_0117.jpg,train,89,171,308,443
102,WSD01/WSD01_0118.jpg,train,81,37,317,331
103,WSD01/WSD01_0119.jpg,train,91,115,280,353
104,WSD01/WSD01_0120.jpg,train,71,82,291,345
105,WSD01/WSD01_0121.jpg,train,93,189,279,400
106,WSD01/WSD01_0122.jpg,train,33,97,338,398
107,WSD01/WSD01_0123.jpg,train,76,132,252,351
108,WSD01/WSD01_0124.jpg,train,121,70,331,330
109,WSD01/WSD01_0125.jpg,train,103,47,332,344
110,WSD01/WSD01_0126.jpg,train,112,96,306,331
111,WSD01/WSD01_0127.jpg,train,88,94,285,336
112,WSD01/WSD01_0128.jpg,train,68,107,269,325
113,WSD01/WSD01_0129.jpg,train,82,144,308,426
114,WSD01/WSD01_0130.jpg,train,97,78,364,360
115,WSD01/WSD01_0131.jpg,train,81,142,311,431
116,WSD01/WSD01_0132.jpg,train,74,88,298,334
117,WSD01/WSD01_0133.jpg,train,108,27,306,286
118,WSD01/WSD01_0134.jpg,train,81,76,295,329
119,WSD01/WSD01_0135.jpg,train,113,94,320,351
120,WSD01/WSD01_0136.jpg,train,58,58,316,335
121,WSD01/WSD01_0137.jpg,train,48,45,316,390
122,WSD01/WSD01_0138.jpg,train,50,87,341,393
123,WSD01/WSD01_0139.jpg,train,108,133,313,380
124,WSD01/WSD01_0140.jpg,train,84,107,286,373
125,WSD01/WSD01_0141.jpg,train,67,102,307,394
126,WSD01/WSD01_0142.jpg,train,93,83,305,350
127,WSD01/WSD01_0143.jpg,train,107,112,287,341
128,WSD01/WSD01_0144.jpg,train,80,70,362,361
129,WSD01/WSD01_0145.jpg,train,87,132,316,359
130,WSD01/WSD01_0146.jpg,train,131,174,275,356
131,WSD01/WSD01_0147.jpg,train,64,119,317,374
132,WSD01/WSD01_0148.jpg,train,118,111,289,325
133,WSD01/WSD01_0149.jpg,train,93,167,252,375
134,WSD01/WSD01_0152.jpg,train,112,96,299,339
135,WSD01/WSD01_0153.jpg,train,68,90,252,332
136,WSD01/WSD01_0154.jpg,train,97,91,308,357
137,WSD01/WSD01_0156.jpg,train,106,145,321,350
138,WSD01/WSD01_0157.jpg,train,66,109,293,344
139,WSD01/WSD01_0158.jpg,train,113,113,308,361
140,WSD01/WSD01_0159.jpg,train,10,84,323,402
141,WSD01/WSD01_0161.jpg,train,85,89,297,371
142,WSD01/WSD01_0162.jpg,train,67,71,285,334
143,WSD01/WSD01_0164.jpg,train,37,87,284,349
144,WSD01/WSD01_0165.jpg,train,157,102,350,335
145,WSD01/WSD01_0166.jpg,train,159,144,307,318
146,WSD01/WSD01_0167.jpg,train,80,92,299,383
147,WSD01/WSD01_0168.jpg,train,115,155,273,347
148,WSD01/WSD01_0169.jpg,train,58,90,334,373
149,WSD01/WSD01_0170.jpg,train,80,73,303,300
150,WSD01/WSD01_0171.jpg,train,31,91,213,260
151,WSD01/WSD01_0172.jpg,train,102,123,315,399
152,WSD01/WSD01_0173.jpg,train,118,188,275,378
153,WSD01/WSD01_0174.jpg,train,107,112,291,345
154,WSD01/WSD01_0175.jpg,train,78,98,319,350
155,WSD01/WSD01_0177.jpg,train,133,164,301,373
156,WSD01/WSD01_0178.jpg,train,276,389,303,424
157,WSD01/WSD01_0179.jpg,train,101,122,261,319
